DATE,CATEGORIES,PAYMENT_MODE,DESCRIPTION,AMOUNTS,CASHBACK
2024-01-12,Entertainment,Visa,Went to movies,3796.67,221.0
2024-01-08,Rent,Bank_transfer,Monthly house rent,2465.67,7.7
2024-01-14,Travel,Paytm,Flights,2093.72,12.73
2024-01-03,Travel,Gpay,Accommodation,2337.67,111.69
2024-01-23,Travel,Paypal,Flights,1784.62,134.6
2024-01-20,Subscription,Credit_card,Netflix,5230.84,179.81
2024-01-17,Travel,Gpay,Transportation,7393.61,398.09
2024-01-01,Subscription,Check,Netflix,4072.71,384.26
2024-01-08,Rent,Visa,Monthly house rent,3274.9,240.32
2024-01-16,Insurance,Gpay,Car,7988.75,558.71
2024-01-14,Groceries,Bank_transfer,Monthly groceries,5744.39,111.92
2024-01-20,Travel,Paypal,Transportation,8779.23,469.9
2024-01-10,Entertainment,Debit_card,Tour,8492.12,827.0
2024-01-03,Rent,Gpay,Monthly house rent,7588.96,725.35
2024-01-17,Entertainment,Paypal,Day off,7534.34,733.71
2024-01-29,Utilities,Paytm,Water bill,4026.0,165.05
2024-01-09,Utilities,Cash,Internet bill,9830.26,315.12
2024-01-04,Subscription,Paytm,Amazon Prime,7357.38,184.2
2024-01-09,Entertainment,Credit_card,Went to movies,2031.28,174.65
2024-01-28,Subscription,Visa,Amazon Prime,7362.93,283.68
2024-02-15,Travel,Visa,Accommodation,3153.94,181.72
2024-02-06,Subscription,Paytm,Netflix,9584.74,104.51
2024-02-16,Entertainment,Bank_transfer,Tour,6103.79,497.28
2024-02-19,Groceries,Debit_card,Monthly groceries,1610.43,131.04
2024-02-05,Utilities,Paypal,Water bill,6122.44,247.46
2024-02-22,Subscription,Credit_card,Amazon Prime,7039.92,26.21
2024-02-21,Rent,Paytm,Monthly house rent,4103.96,57.9
2024-02-17,Subscription,Check,Netflix,1350.75,130.7
2024-02-02,Insurance,Gpay,Life,2334.8,209.66
2024-02-17,Utilities,Paypal,Internet bill,6337.97,438.05
2024-02-01,Rent,Cash,Monthly house rent,4581.47,313.51
2024-02-23,Subscription,Credit_card,Netflix,9781.78,964.22
2024-02-04,Groceries,Paytm,Monthly groceries,4859.84,22.28
2024-02-03,Subscription,Cash,Amazon Prime,8986.8,357.59
2024-02-06,Entertainment,Paytm,Went to movies,2521.85,51.4
2024-02-14,Subscription,Gpay,Amazon Prime,1117.56,91.01
2024-02-21,Travel,Check,Transportation,9631.61,912.89
2024-02-16,Entertainment,Debit_card,Tour,8103.16,323.42
2024-02-06,Groceries,Debit_card,Monthly groceries,9863.09,119.4
2024-02-21,Groceries,Gpay,Monthly groceries,2976.12,259.76
2024-02-05,Utilities,Credit_card,Water bill,2894.04,216.34
2024-02-25,Subscription,Paypal,Netflix,3127.28,297.48
2024-02-18,Groceries,Cash,Monthly groceries,4052.3,327.63
2024-02-12,Entertainment,Debit_card,Tour,4050.75,396.74
2024-02-16,Utilities,Check,Electricity bill,2548.75,148.97
2024-02-24,Subscription,Check,Amazon Prime,3048.63,70.77
2024-02-01,Utilities,Visa,Internet bill,1262.2,60.4
2024-02-14,Entertainment,Paytm,Day off,7624.53,110.67
2024-02-16,Insurance,Paypal,Life,6083.49,268.81
2024-02-27,Groceries,Check,Monthly groceries,2415.83,92.98
2024-02-11,Subscription,Debit_card,Amazon Prime,9901.55,382.09
2024-02-03,Insurance,Check,Car,5008.44,250.57
2024-02-20,Insurance,Visa,Car,4354.93,5.84
2024-02-12,Subscription,Credit_card,Amazon Prime,9866.66,508.74
2024-02-18,Rent,Bank_transfer,Monthly house rent,6278.63,349.21
2024-02-19,Utilities,Gpay,Water bill,2322.48,218.41
2024-02-19,Travel,Paytm,Transportation,4546.63,131.81
2024-02-20,Insurance,Gpay,Life,7551.2,552.95
2024-02-13,Entertainment,Visa,Day off,3600.89,187.83
2024-02-23,Entertainment,Cash,Went to movies,8887.29,530.29
2024-02-12,Groceries,Debit_card,Monthly groceries,6196.3,605.68
2024-02-13,Subscription,Debit_card,Amazon Prime,4592.48,363.94
2024-02-21,Rent,Visa,Monthly house rent,7788.43,293.91
2024-02-01,Insurance,Bank_transfer,Life,1577.9,117.25
2024-02-08,Travel,Check,Transportation,4524.59,74.81
2024-02-17,Insurance,Bank_transfer,Car,5627.22,362.65
2024-02-10,Insurance,Paytm,Car,1354.69,19.08
2024-02-02,Utilities,Paytm,Water bill,9211.47,614.99
2024-02-02,Insurance,Bank_transfer,Life,7074.82,359.93
2024-02-13,Groceries,Credit_card,Monthly groceries,1926.53,21.68
2024-02-06,Subscription,Check,Amazon Prime,7840.38,541.18
2024-02-11,Rent,Bank_transfer,Monthly house rent,6000.06,485.8
2024-02-05,Entertainment,Paytm,Tour,3207.89,226.58
2024-02-25,Entertainment,Gpay,Went to movies,4161.5,67.26
2024-02-23,Subscription,Check,Netflix,1769.04,167.28
2024-02-03,Subscription,Debit_card,Netflix,4272.32,338.68
2024-02-25,Rent,Debit_card,Monthly house rent,7998.06,225.67
2024-02-22,Utilities,Paypal,Internet bill,1649.82,19.09
2024-02-07,Rent,Gpay,Monthly house rent,4300.53,116.45
2024-02-12,Groceries,Paypal,Monthly groceries,3017.0,288.07
2024-02-04,Insurance,Bank_transfer,Life,8062.16,380.83
2024-02-15,Entertainment,Debit_card,Went to movies,3897.26,112.1
2024-02-27,Travel,Debit_card,Flights,4503.96,123.0
2024-02-08,Utilities,Gpay,Water bill,5912.1,304.92
2024-02-22,Subscription,Credit_card,Netflix,7201.91,207.81
2024-02-04,Subscription,Credit_card,Amazon Prime,1739.14,74.48
2024-02-05,Insurance,Gpay,Car,8309.87,315.38
2024-02-08,Insurance,Bank_transfer,Life,4787.85,92.14
2024-02-06,Travel,Debit_card,Flights,4809.7,48.47
2024-02-25,Travel,Paypal,Transportation,4904.08,122.96
2024-02-18,Utilities,Check,Internet bill,7370.28,574.62
2024-02-18,Rent,Paypal,Monthly house rent,3181.94,125.74
2024-02-07,Rent,Debit_card,Monthly house rent,7232.28,47.72
2024-02-22,Subscription,Cash,Netflix,5399.48,291.51
2024-02-02,Insurance,Check,Life,4234.2,76.21
2024-02-06,Groceries,Visa,Monthly groceries,4981.59,257.06
2024-02-17,Utilities,Paytm,Water bill,9353.49,511.24
2024-02-27,Subscription,Bank_transfer,Netflix,9834.95,786.33
2024-02-13,Utilities,Debit_card,Electricity bill,5018.14,394.12
2024-02-14,Entertainment,Paytm,Tour,4037.44,131.71
2024-02-12,Entertainment,Debit_card,Day off,3055.03,20.85
2024-02-22,Subscription,Visa,Netflix,6109.39,367.07
2024-02-07,Travel,Visa,Flights,7378.65,245.34
2024-02-27,Travel,Debit_card,Accommodation,4909.08,377.03
2024-02-03,Subscription,Debit_card,Amazon Prime,9679.32,405.44
2024-02-24,Rent,Paytm,Monthly house rent,8675.32,382.49
2024-02-22,Travel,Bank_transfer,Transportation,5560.84,382.49
2024-02-02,Groceries,Paypal,Monthly groceries,2621.08,160.71
2024-02-22,Subscription,Credit_card,Netflix,8963.96,280.17
2024-02-27,Rent,Bank_transfer,Monthly house rent,7201.39,481.07
2024-02-18,Rent,Visa,Monthly house rent,8274.4,384.88
2024-02-03,Insurance,Credit_card,Car,7569.45,498.67
2024-02-24,Entertainment,Credit_card,Day off,4730.36,279.24
2024-02-03,Subscription,Cash,Amazon Prime,9214.09,443.01
2024-02-15,Utilities,Check,Electricity bill,7924.73,172.63
2024-02-25,Utilities,Gpay,Water bill,1312.13,108.33
2024-02-08,Utilities,Bank_transfer,Water bill,9469.99,403.43
2024-02-23,Travel,Bank_transfer,Accommodation,6958.63,460.84
2024-02-06,Rent,Paytm,Monthly house rent,6363.82,46.88
2024-02-19,Travel,Gpay,Accommodation,7448.63,280.63
2024-02-01,Insurance,Bank_transfer,Car,3944.84,338.33
2024-02-27,Groceries,Gpay,Monthly groceries,2441.71,60.69
2024-02-18,Groceries,Visa,Monthly groceries,1798.56,99.47
2024-02-06,Groceries,Credit_card,Monthly groceries,1638.9,84.85
2024-02-18,Entertainment,Bank_transfer,Went to movies,7549.02,272.4
2024-02-18,Utilities,Paytm,Water bill,9551.27,484.06
2024-02-27,Rent,Check,Monthly house rent,9667.19,370.94
2024-02-07,Groceries,Gpay,Monthly groceries,2196.43,174.0
2024-02-24,Travel,Gpay,Flights,3489.35,163.62
2024-02-17,Groceries,Cash,Monthly groceries,8585.31,124.72
2024-02-01,Groceries,Check,Monthly groceries,4744.36,408.17
2024-02-10,Rent,Paytm,Monthly house rent,1255.95,65.31
2024-02-03,Rent,Paytm,Monthly house rent,3554.29,163.16
2024-02-13,Groceries,Check,Monthly groceries,1937.11,74.77
2024-02-01,Subscription,Gpay,Amazon Prime,6193.43,344.37
2024-02-01,Groceries,Paytm,Monthly groceries,2461.75,91.05
2024-02-14,Groceries,Debit_card,Monthly groceries,4134.39,383.64
2024-02-21,Insurance,Visa,Life,1172.99,94.04
2024-02-22,Insurance,Visa,Car,3852.31,82.64
2024-02-11,Travel,Debit_card,Flights,7720.21,66.98
2024-02-20,Groceries,Check,Monthly groceries,4212.91,137.15
2024-02-15,Insurance,Check,Life,8374.0,663.46
2024-02-15,Utilities,Cash,Electricity bill,6168.26,195.31
2024-02-06,Groceries,Cash,Monthly groceries,6494.09,8.22
2024-02-09,Groceries,Credit_card,Monthly groceries,1352.66,28.17
2024-02-15,Rent,Paypal,Monthly house rent,9859.84,910.24
2024-02-01,Utilities,Visa,Electricity bill,9422.15,898.79
2024-02-14,Rent,Check,Monthly house rent,2849.74,10.48
2024-02-15,Entertainment,Gpay,Tour,1646.29,108.62
2024-02-20,Subscription,Visa,Amazon Prime,8742.16,183.49
2024-02-26,Rent,Visa,Monthly house rent,1391.71,64.05
2024-02-15,Rent,Debit_card,Monthly house rent,5048.25,198.73
2024-02-13,Entertainment,Visa,Went to movies,7493.46,36.39
2024-02-17,Insurance,Credit_card,Life,6507.1,133.25
2024-02-12,Subscription,Visa,Amazon Prime,6604.96,72.66
2024-02-12,Groceries,Check,Monthly groceries,5326.13,174.83
2024-02-01,Rent,Credit_card,Monthly house rent,5831.46,472.04
2024-02-13,Insurance,Paytm,Car,3556.34,54.63
2024-02-24,Insurance,Paytm,Life,1015.86,67.03
2024-02-16,Entertainment,Credit_card,Went to movies,6607.33,90.87
2024-02-14,Utilities,Bank_transfer,Water bill,7997.98,497.68
2024-02-12,Insurance,Paypal,Life,7473.78,654.7
2024-02-16,Utilities,Check,Water bill,4217.69,98.27
2024-02-24,Entertainment,Check,Day off,2222.34,208.26
2024-02-08,Insurance,Paypal,Car,1794.61,129.41
2024-02-17,Groceries,Credit_card,Monthly groceries,5186.73,103.06
2024-02-25,Travel,Check,Flights,6924.69,562.08
2024-02-20,Subscription,Cash,Netflix,4225.15,291.45
2024-02-08,Groceries,Check,Monthly groceries,7981.96,615.53
2024-02-18,Groceries,Cash,Monthly groceries,7768.66,360.83
2024-03-03,Subscription,Paytm,Netflix,6907.03,292.1
2024-03-29,Insurance,Bank_transfer,Car,1444.3,59.91
2024-03-22,Insurance,Check,Car,1030.2,31.85
2024-03-18,Entertainment,Check,Went to movies,5465.29,65.52
2024-03-29,Rent,Debit_card,Monthly house rent,7658.56,457.22
2024-03-22,Insurance,Paypal,Car,4865.84,111.74
2024-03-06,Travel,Check,Transportation,2714.49,21.99
2024-03-08,Travel,Paypal,Flights,2533.94,143.69
2024-03-01,Groceries,Credit_card,Monthly groceries,7273.81,95.63
2024-03-14,Subscription,Credit_card,Netflix,7183.6,37.22
2024-03-17,Travel,Visa,Transportation,5437.44,410.7
2024-03-22,Subscription,Cash,Netflix,1627.86,145.4
2024-03-08,Subscription,Visa,Netflix,6099.16,248.21
2024-03-18,Rent,Gpay,Monthly house rent,5741.22,245.75
2024-03-05,Subscription,Paypal,Amazon Prime,5353.74,169.04
2024-03-26,Insurance,Check,Car,2312.44,51.48
2024-03-30,Utilities,Paypal,Internet bill,6259.07,280.32
2024-03-04,Utilities,Check,Electricity bill,8919.71,125.0
2024-03-22,Subscription,Debit_card,Amazon Prime,4069.16,242.19
2024-03-14,Utilities,Paytm,Internet bill,6591.8,399.41
2024-03-20,Insurance,Paypal,Car,9749.21,364.71
2024-03-24,Rent,Paytm,Monthly house rent,7666.7,476.68
2024-03-09,Utilities,Debit_card,Electricity bill,5674.2,239.9
2024-03-12,Entertainment,Cash,Went to movies,5726.35,304.21
2024-03-14,Utilities,Paytm,Electricity bill,5910.35,149.06
2024-03-23,Rent,Debit_card,Monthly house rent,2203.84,219.32
2024-03-28,Travel,Debit_card,Accommodation,5366.96,3.51
2024-03-02,Rent,Gpay,Monthly house rent,8471.32,258.31
2024-03-17,Rent,Bank_transfer,Monthly house rent,7074.18,316.8
2024-03-03,Insurance,Cash,Life,1931.66,75.64
2024-03-06,Subscription,Gpay,Netflix,8083.58,445.9
2024-03-02,Travel,Paypal,Accommodation,2837.44,263.84
2024-03-15,Subscription,Paypal,Amazon Prime,3738.68,287.63
2024-03-19,Rent,Paytm,Monthly house rent,5555.46,410.4
2024-03-05,Entertainment,Cash,Day off,4038.93,61.03
2024-03-06,Rent,Gpay,Monthly house rent,5291.17,43.54
2024-03-16,Travel,Visa,Transportation,7020.24,42.29
2024-03-15,Insurance,Debit_card,Car,8055.06,676.28
2024-03-18,Rent,Visa,Monthly house rent,7329.12,143.66
2024-03-06,Subscription,Check,Netflix,5634.96,234.48
2024-03-02,Travel,Credit_card,Transportation,1785.63,34.09
2024-03-11,Utilities,Visa,Electricity bill,8667.48,355.16
2024-03-14,Groceries,Check,Monthly groceries,5457.04,39.3
2024-03-03,Groceries,Cash,Monthly groceries,2242.25,203.9
2024-03-04,Entertainment,Bank_transfer,Went to movies,4274.13,226.65
2024-03-13,Groceries,Visa,Monthly groceries,1299.64,26.72
2024-03-23,Travel,Visa,Transportation,9164.23,881.32
2024-03-18,Insurance,Gpay,Car,2096.1,75.79
2024-03-17,Insurance,Check,Life,9209.44,388.92
2024-03-13,Utilities,Paytm,Electricity bill,8358.54,396.7
2024-03-22,Groceries,Bank_transfer,Monthly groceries,6428.16,8.09
2024-03-21,Groceries,Paypal,Monthly groceries,3023.41,186.75
2024-03-06,Groceries,Gpay,Monthly groceries,7155.51,390.41
2024-03-21,Insurance,Credit_card,Life,6191.7,136.99
2024-03-21,Entertainment,Debit_card,Day off,1315.54,50.49
2024-03-20,Insurance,Bank_transfer,Car,6935.93,550.79
2024-03-21,Rent,Bank_transfer,Monthly house rent,9464.64,217.58
2024-03-21,Utilities,Visa,Internet bill,1803.32,151.16
2024-03-27,Entertainment,Debit_card,Went to movies,9285.32,519.51
2024-03-03,Entertainment,Paypal,Day off,6817.33,478.85
2024-03-08,Groceries,Gpay,Monthly groceries,5601.04,412.87
2024-03-15,Travel,Credit_card,Accommodation,3191.33,31.7
2024-03-15,Rent,Debit_card,Monthly house rent,9203.59,424.3
2024-03-17,Insurance,Paytm,Life,7051.19,577.51
2024-03-03,Insurance,Credit_card,Life,5603.44,370.5
2024-03-10,Groceries,Gpay,Monthly groceries,8249.97,768.11
2024-03-15,Insurance,Bank_transfer,Life,2623.76,248.13
2024-03-12,Groceries,Gpay,Monthly groceries,2144.14,139.83
2024-03-11,Groceries,Gpay,Monthly groceries,6776.12,178.69
2024-03-24,Groceries,Credit_card,Monthly groceries,6094.94,460.76
2024-03-13,Groceries,Gpay,Monthly groceries,2132.25,47.68
2024-03-20,Entertainment,Bank_transfer,Day off,9207.96,778.42
2024-03-13,Travel,Cash,Transportation,3416.24,17.41
2024-03-25,Insurance,Check,Car,1284.6,24.24
2024-03-16,Insurance,Debit_card,Car,9135.82,28.57
2024-03-06,Subscription,Visa,Amazon Prime,6176.95,343.2
2024-03-29,Utilities,Check,Water bill,3351.17,133.37
2024-03-25,Travel,Cash,Flights,7234.12,694.81
2024-03-28,Subscription,Gpay,Netflix,7551.32,307.12
2024-03-15,Entertainment,Cash,Tour,6148.8,14.24
2024-03-13,Utilities,Paypal,Electricity bill,2839.45,281.3
2024-03-06,Rent,Paypal,Monthly house rent,2840.28,109.23
2024-03-12,Rent,Cash,Monthly house rent,9828.18,232.47
2024-03-20,Subscription,Paytm,Amazon Prime,5809.75,417.66
2024-03-14,Subscription,Bank_transfer,Amazon Prime,1860.88,54.44
2024-03-05,Insurance,Bank_transfer,Car,3929.77,331.23
2024-03-23,Groceries,Cash,Monthly groceries,7291.5,593.13
2024-03-27,Groceries,Bank_transfer,Monthly groceries,8385.02,116.74
2024-03-02,Groceries,Paypal,Monthly groceries,8867.95,687.45
2024-03-14,Entertainment,Gpay,Day off,6904.88,444.91
2024-03-15,Entertainment,Check,Went to movies,4086.31,153.91
2024-03-25,Subscription,Cash,Amazon Prime,9285.94,348.6
2024-03-15,Travel,Bank_transfer,Transportation,7943.85,763.82
2024-03-11,Travel,Visa,Flights,5354.58,341.33
2024-03-20,Subscription,Paytm,Amazon Prime,8881.72,57.35
2024-03-06,Groceries,Debit_card,Monthly groceries,9571.0,875.3
2024-03-14,Insurance,Paypal,Car,2875.49,41.74
2024-03-29,Groceries,Gpay,Monthly groceries,3064.05,238.73
2024-03-06,Entertainment,Paytm,Tour,4087.2,1.95
2024-03-05,Insurance,Credit_card,Life,6043.52,356.9
2024-03-24,Rent,Visa,Monthly house rent,2878.1,198.3
2024-03-19,Entertainment,Cash,Went to movies,7141.54,614.74
2024-03-24,Utilities,Paytm,Internet bill,1688.12,151.08
2024-03-11,Travel,Credit_card,Flights,8180.69,790.67
2024-03-24,Utilities,Gpay,Electricity bill,5043.04,10.95
2024-03-08,Travel,Check,Transportation,1396.2,39.51
2024-03-30,Subscription,Credit_card,Amazon Prime,4574.66,252.47
2024-03-03,Utilities,Check,Electricity bill,6498.65,91.32
2024-03-30,Entertainment,Gpay,Went to movies,7502.96,282.15
2024-03-07,Travel,Gpay,Transportation,1184.16,33.09
2024-03-04,Insurance,Visa,Life,6302.45,193.28
2024-03-20,Travel,Bank_transfer,Flights,4004.94,265.05
2024-03-16,Entertainment,Check,Went to movies,6949.54,68.16
2024-03-29,Utilities,Credit_card,Water bill,8337.99,664.73
2024-03-21,Subscription,Check,Amazon Prime,1811.3,15.43
2024-03-23,Insurance,Debit_card,Car,6060.96,44.09
2024-03-17,Utilities,Paypal,Electricity bill,3505.39,224.04
2024-03-23,Rent,Cash,Monthly house rent,5111.01,216.64
2024-03-25,Subscription,Credit_card,Netflix,5879.53,97.49
2024-03-29,Entertainment,Paypal,Went to movies,2038.35,170.61
2024-03-19,Rent,Paytm,Monthly house rent,7398.79,725.53
2024-03-28,Subscription,Credit_card,Amazon Prime,9870.91,88.38
2024-03-03,Travel,Paypal,Accommodation,9312.35,891.41
2024-03-16,Rent,Visa,Monthly house rent,5309.68,68.52
2024-03-04,Groceries,Cash,Monthly groceries,6449.81,96.66
2024-03-10,Utilities,Check,Electricity bill,4888.16,262.58
2024-03-26,Insurance,Credit_card,Car,6015.01,254.11
2024-03-05,Travel,Bank_transfer,Transportation,2512.31,80.09
2024-03-22,Insurance,Visa,Car,8427.92,608.96
2024-03-16,Groceries,Paytm,Monthly groceries,3638.42,37.45
2024-03-13,Groceries,Paypal,Monthly groceries,4184.29,352.63
2024-03-14,Rent,Gpay,Monthly house rent,6390.74,438.93
2024-03-10,Rent,Bank_transfer,Monthly house rent,9418.85,96.07
2024-03-28,Entertainment,Gpay,Day off,2716.01,233.24
2024-03-22,Subscription,Visa,Netflix,5238.76,291.99
